 NAME III (version 6.5)                                          
 Run name:                   WARRI
 Run time:                   09/11/2016 21:17:41.552 UTC
 Met data:                   NWP Flow.Global_Mk6_PT1 Flow; NWP Flow.Global_Mk6_PT2 Flow; NWP Flow.Global_Mk6_PT3 Flow; NWP Flow.Global_Mk6_PT4 Flow; NWP Flow.Global_Mk6_PT5 Flow; NWP Flow.Global_Mk6_PT6 Flow; NWP Flow.Global_Mk6_PT7 Flow; NWP Flow.Global_Mk6_PT8 Flow; NWP Flow.Global_Mk6_PT9 Flow; NWP Flow.Global_Mk6_PT10 Flow; NWP Flow.Global_Mk6_PT11 Flow; NWP Flow.Global_Mk6_PT12 Flow; NWP Flow.Global_Mk6_PT13 Flow; NWP Flow.Global_Mk6_PT14 Flow
 Start of release:           16/07/2011 00:00 UTC
 End of release:             15/07/2011 00:00 UTC
 Source strength:            Multiple Sources
 Release location:           Multiple Sources
 Release height:             Multiple Sources
 Run duration:               2day 0hr 0min
 X grid origin:                -100.0000    
 Y grid origin:                -30.00000    
 X grid size:                         600
 Y grid size:                         280
 X grid resolution:            0.2500000    
 Y grid resolution:            0.2500000    
 Number of preliminary cols:            4
 Number of field cols:                  8
 
 Fields:
                        ,                        ,                        ,                        ,                    tracer,                    tracer,                    tracer,                    tracer,                    tracer,                    tracer,                    tracer,                    tracer,
                        ,                        ,                        ,                        ,                    Req1_1,                    Req1_2,                    Req1_3,                    Req1_4,                    Req1_5,                    Req1_6,                    Req1_7,                    Req1_8,
                        ,                        ,                        ,                        ,         Air concentration,         Air concentration,         Air concentration,         Air concentration,         Air concentration,         Air concentration,         Air concentration,         Air concentration,
                        ,                        ,                        ,                        ,                   TRACER1,                   TRACER1,                   TRACER1,                   TRACER1,                   TRACER1,                   TRACER1,                   TRACER1,                   TRACER1,
                        ,                        ,                        ,                        ,                 g s / m^3,                 g s / m^3,                 g s / m^3,                 g s / m^3,                 g s / m^3,                 g s / m^3,                 g s / m^3,                 g s / m^3,
                        ,                        ,                        ,                        ,               SourceID1_1,               SourceID1_2,               SourceID1_3,               SourceID1_4,               SourceID1_5,               SourceID1_6,               SourceID1_7,               SourceID1_8,
                        ,                        ,                        ,                        ,     No ensemble averaging,     No ensemble averaging,     No ensemble averaging,     No ensemble averaging,     No ensemble averaging,     No ensemble averaging,     No ensemble averaging,     No ensemble averaging,
                        ,                        ,                        ,                        ,    1day 0hr 0min integral,    1day 0hr 0min integral,    1day 0hr 0min integral,    1day 0hr 0min integral,    1day 0hr 0min integral,    1day 0hr 0min integral,    1day 0hr 0min integral,    1day 0hr 0min integral,
                        ,                        ,                        ,                        ,   No horizontal averaging,   No horizontal averaging,   No horizontal averaging,   No horizontal averaging,   No horizontal averaging,   No horizontal averaging,   No horizontal averaging,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,     No vertical averaging,     No vertical averaging,     No vertical averaging,     No vertical averaging,     No vertical averaging,     No vertical averaging,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,
